20001,"8811 Fernview Dr","Louisville","KY","40291"
20002,"8810 Fernview Dr","Louisville","KY","40291"
20003,"8904 Beulah Church Rd","Louisville","KY","40291"
20004,"9019 Fern Creek Rd","Louisville","KY","40291"
20005,"9100 Artis Way","Louisville","KY","40291"
20006,"6814 Sherry Ln","Louisville","KY","40291"
20007,"6810 Sherry Ln","Louisville","KY","40291"
20008,"6811 Sherry Ln","Louisville","KY","40291"
20009,"6804 Sherry Ln","Louisville","KY","40291"
20010,"9016 Sidney Way","Louisville","KY","40291"
20011,"9011 Sidney Way","Louisville","KY","40291"
20012,"9025 Sidney Way","Louisville","KY","40291"
20013,"9027 Sidney Way","Louisville","KY","40291"
20014,"9108 Beulah Church Rd","Louisville","KY","40291"
20015,"1415 St James Ct","Louisville","KY","40208"
20016,"750 Persimmon Ridge Dr","Louisville","KY","40245"
20017,"4867 Brenda Dr","Louisville","KY","40219"
20018,"4923 Grantham Pl","Louisville","KY","40222"
20019,"1905 Crossgate Ln","Louisville","KY","40222"
20020,"1812 Crossgate Ln","Louisville","KY","40222"
20021,"1803 Grantham Ct","Louisville","KY","40222"
20022,"1801 Grantham Ct","Louisville","KY","40222"
20023,"1804 Crossgate Ln","Louisville","KY","40222"
20024,"1809 Crossgate Ln","Louisville","KY","40222"
20025,"1922 Herr Ln","Louisville","KY","40222"
20026,"6820 Crossmoor Ln","Louisville","KY","40222"
20027,"1805 Crossgate Ln","Louisville","KY","40222"
20028,"1812 Warrington Way","Louisville","KY","40222"
20029,"4920 Grantham Pl","Louisville","KY","40222"
20030,"1901 Warrington Way","Louisville","KY","40222"
20031,"6703 Crossmoor Ln","Louisville","KY","40222"
20032,"1804 Winsford Pl","Louisville","KY","40222"
20033,"1924 Buttonwood Rd","Louisville","KY","40222"
20034,"1926 Buttonwood Rd","Louisville","KY","40222"
20035,"1934 Buttonwood Rd","Louisville","KY","40222"
20036,"1802 Girard Dr","Louisville","KY","40222"
20037,"6714 Crossmoor Ln","Louisville","KY","40222"
20038,"6711 Crossmoor Ln","Louisville","KY","40222"
20039,"1800 Gretchen K Ct","Louisville","KY","40222"
20040,"1706 Girard Dr","Louisville","KY","40222"
20041,"6803 Greenlawn Rd","Louisville","KY","40222"
20042,"1613 Girard Dr","Louisville","KY","40222"
20043,"1702 Girard Dr","Louisville","KY","40222"
20044,"6707 Bedford Ln","Louisville","KY","40222"
20045,"1812 Buttonwood Rd","Louisville","KY","40222"
20046,"6901 Greenlawn Rd","Louisville","KY","40222"
20047,"6903 Greenlawn Rd","Louisville","KY","40222"
20048,"1920 Buttonwood Rd","Louisville","KY","40222"
20049,"1814 Herr Ln","Louisville","KY","40222"
20050,"1802 Leawood Ct","Louisville","KY","40222"
