110001,"1137 Gilliland Rd","Louisville","KY","40245"
110002,"4609 Glen Rose Rd","Louisville","KY","40229"
110003,"4630 Glen Rose Rd","Louisville","KY","40229"
110004,"4701 Glen Rose Rd","Louisville","KY","40229"
110005,"4621 Glen Rose Rd","Louisville","KY","40229"
110006,"744 S 43rd St","Louisville","KY","40211"
110007,"740 S 43rd St","Louisville","KY","40211"
110008,"910 S 43rd St","Louisville","KY","40211"
110009,"2517 Coronet Dr","Louisville","KY","40216"
110010,"913 S 44th St","Louisville","KY","40211"
110011,"742 S 43rd St","Louisville","KY","40211"
110012,"2517 Legene Dr","Louisville","KY","40216"
110013,"2409 Determine Ct","Louisville","KY","40216"
110014,"752 S 43rd St","Louisville","KY","40211"
110015,"2513 Coronet Dr","Louisville","KY","40216"
110016,"2415 Adrienne Way","Louisville","KY","40216"
110017,"2406 Adrienne Way","Louisville","KY","40216"
110018,"2525 Legene Dr","Louisville","KY","40216"
110019,"2411 Determine Ct","Louisville","KY","40216"
110020,"2412 Determine Ct","Louisville","KY","40216"
110021,"2515 Adrienne Way","Louisville","KY","40216"
110022,"2512 Wilkerson Ave","Louisville","KY","40216"
110023,"2414 Adrienne Way","Louisville","KY","40216"
110024,"2527 Legene Dr","Louisville","KY","40216"
110025,"2524 Adrienne Way","Louisville","KY","40216"
110026,"8506 Smithton Rd","Louisville","KY","40219"
110027,"223 S 23rd St","Louisville","KY","40212"
110028,"2237 W Jefferson St","Louisville","KY","40212"
110029,"2315 Cedar St","Louisville","KY","40212"
110030,"2227 W Jefferson St","Louisville","KY","40212"
110031,"2245 W Jefferson St","Louisville","KY","40212"
110032,"2222 W Main St","Louisville","KY","40212"
110033,"2209 Cedar St","Louisville","KY","40212"
110034,"2210 Green Aly","Louisville","KY","40212"
110035,"3435 Powell Ave","Louisville","KY","40215"
110036,"5716 Elmer Ln","Louisville","KY","40214"
110037,"7711 Lesane Dr","Louisville","KY","40214"
110038,"1455 S 3rd St","Apt C2","Louisville",
110039,"1455 S 3rd St","Apt D3","Louisville",
110040,"1415 S 4th St","Louisville","KY","40208"
110041,"1453 S 3rd St","Apt 31","Louisville",
110042,"1445 S 3rd St","Apt 1","Louisville",
110043,"1455 S 3rd St","Apt A2","Louisville",
110044,"1453 S 3rd St","Apt 33","Louisville",
110045,"8124 Watterson Trl","Louisville","KY","40299"
110046,"8122 Watterson Trl","Louisville","KY","40299"
110047,"1552 Louis Coleman Jr Dr","Louisville","KY","40211"
110048,"3423 Young Ave","Louisville","KY","40211"
110049,"3412 Chauncey Ave","Louisville","KY","40211"
110050,"1523 S 35th St","Louisville","KY","40211"
110051,"3418 Chauncey Ave","Louisville","KY","40211"
110052,"3403 Niantic Ct","Louisville","KY","40211"
110053,"3420 Chauncey Ave","Louisville","KY","40211"
110054,"3409 Chauncey Ave","Louisville","KY","40211"
110055,"1515 Pawtuket Ct","Louisville","KY","40211"
110056,"3404 Swansea Ct","Louisville","KY","40211"
110057,"3302 Young Ave","Louisville","KY","40211"
110058,"1543 S 35th St","Louisville","KY","40211"
110059,"3504 Chauncey Ave","Louisville","KY","40211"
110060,"3400 Swansea Ct","Louisville","KY","40211"
110061,"3417 Chauncey Ave","Louisville","KY","40211"
110062,"3514 Chauncey Ave","Louisville","KY","40211"
110063,"3411 Chauncey Ave","Louisville","KY","40211"
110064,"3404 Chauncey Ave","Louisville","KY","40211"
110065,"1519 S 35th St","Louisville","KY","40211"
110066,"5500 Littleridge Dr","Louisville","KY","40229"
110067,"10206 Arbor Oak Dr","Louisville","KY","40229"
110068,"9406 Moonridge Pl","Louisville","KY","40229"
110069,"112 W Burnett Ave","Apt 3","Louisville",
110070,"1450 S 2nd St","# 3","Louisville",
110071,"115 W Burnett Ave","Apt 2","Louisville",
110072,"1403 S 2nd St","Apt 1","Louisville",
110073,"107 W Hill St","Apt 101","Louisville",
110074,"1403 S 2nd St","Apt 4","Louisville",
110075,"3020 Talisman Rd","Louisville","KY","40220"
110076,"3019 Talisman Rd","Louisville","KY","40220"
110077,"1381 S 3rd St","Apt 8","Louisville",
110078,"3601 Argyle Ln","Louisville","KY","40220"
110079,"1422 S 1st St","Apt 1","Louisville",
110080,"5502 Littleridge Dr","Louisville","KY","40229"
110081,"1393 S 3rd St","Apt 2","Louisville",
110082,"1403 S 2nd St","Apt 5","Louisville",
110083,"1392 S 2nd St","Louisville","KY","40208"
110084,"112 W Burnett Ave","Apt 1","Louisville",
110085,"116 W Burnett Ave","Apt 3","Louisville",
110086,"101 W Burnett Ave","Louisville","KY","40208"
110087,"1408 S 3rd St","Louisville","KY","40208"
110088,"1422 S 1st St","Apt 3","Louisville",
110089,"1420 S 2nd St","Louisville","KY","40208"
110090,"1401 S 3rd St","Apt 4","Louisville",
110091,"1381 S 3rd St","Apt 11","Louisville",
110092,"1428 S 1st St","Louisville","KY","40208"
110093,"1412 S 2nd St","Apt 2","Louisville",
110094,"1452 S 2nd St","Louisville","KY","40208"
110095,"116 W Burnett Ave","Apt 1","Louisville",
110096,"112 W Burnett Ave","Apt 2","Louisville",
110097,"1460 S 2nd St","Apt 1","Louisville",
110098,"1480 S 1st St","Louisville","KY","40208"
110099,"116 W Burnett Ave","Apt 2","Louisville",
110100,"1403 S 2nd St","Apt 3","Louisville",
110101,"742 Sutcliffe Ave","Louisville","KY","40211"
110102,"737 S 38th St","Louisville","KY","40211"
110103,"3804 W Broadway","Louisville","KY","40211"
110104,"728 Sutcliffe Ave","Louisville","KY","40211"
110105,"719 Dearborn Ave","Louisville","KY","40211"
110106,"11006 Pebble Creek Dr","Louisville","KY","40241"
110107,"6620 Daytona Ave","Louisville","KY","40216"
110108,"6609 Flagler Ave","Louisville","KY","40216"
110109,"3916 Terry Ct","Louisville","KY","40216"
110110,"6515 Daytona Ave","Louisville","KY","40216"
110111,"6603 Flagler Ave","Louisville","KY","40216"
110112,"6515 Huff Ln","Louisville","KY","40216"
110113,"6601 Huff Ln","Louisville","KY","40216"
110114,"6603 Huff Ln","Louisville","KY","40216"
110115,"6517 Huff Ln","Louisville","KY","40216"
110116,"6605 Huff Ln","Louisville","KY","40216"
110117,"1516 Pawtuket Ct","Louisville","KY","40211"
110118,"1513 Pawtuket Ct","Louisville","KY","40211"
110119,"7004 Betsy Ross Dr","Louisville","KY","40272"
110120,"6912 Watson Ln","Louisville","KY","40272"
110121,"5800 Coach Gate Wynde","Apt 288","Louisville",
110122,"5601 Coach Gate Wynde","Apt 3","Louisville",
110123,"5601 Coach Gate Wynde","Apt 33","Louisville",
