60001,"1542 Quadrant Ave","Louisville","KY","40205"
60002,"6810 Crossmoor Ln","Louisville","KY","40222"
60003,"616 Rymer Way","Louisville","KY","40223"
60004,"310 Possum Path","Louisville","KY","40214"
60005,"11922 Pond Creek Dr","Louisville","KY","40272"
60006,"157 N Bayly Ave","Louisville","KY","40206"
60007,"10812 Golden Maple Pl","Louisville","KY","40223"
60008,"3902 Blooming Spring Ct","Louisville","KY","40299"
60009,"3807 Cressington Pl","Louisville","KY","40245"
60010,"5102 Barnes Dr","Louisville","KY","40219"
60011,"1219 Reutlinger Ave","Louisville","KY","40204"
60012,"4114 Millcreek Dr","Louisville","KY","40216"
60013,"6730 Leverett Ln","Louisville","KY","40258"
60014,"528 Gheens Ave","Louisville","KY","40214"
60015,"2013 Foxhurst Dr","Louisville","KY","40216"
60016,"2509 Fordhaven Rd","Louisville","KY","40214"
60017,"5901 Prestwood Ct","Louisville","KY","40219"
60018,"9304 Dempley Ave","Louisville","KY","40272"
60019,"9027 Auburn Woods Rd","Louisville","KY","40214"
60020,"432 Twinbrook Rd","Louisville","KY","40207"
60021,"2504 Wyeth Ct","Louisville","KY","40220"
60022,"2644 Whittier Ave","Louisville","KY","40205"
60023,"7909 Cedar Brook Dr","Louisville","KY","40219"
60024,"7915 Oswego Cir","Louisville","KY","40214"
60025,"2360 Hawthorne Ave","Louisville","KY","40205"
60026,"4914 Ana Ter","Louisville","KY","40272"
60027,"3035 Talisman Rd","Louisville","KY","40220"
60028,"2407 Ballad Blvd","Louisville","KY","40299"
60029,"116 Lawndale Ave","Louisville","KY","40214"
60030,"3917 Kennison Ave","Louisville","KY","40207"
60031,"334 Ridgeway Ave","Louisville","KY","40207"
60032,"3011 Windsor Lakes Pkwy","Louisville","KY","40214"
60033,"1200 Autumn Sun Ct","Unit 102","Louisville",
60034,"178 Vernon Ave","Louisville","KY","40206"
60035,"3769 Wheeler Ave","Louisville","KY","40215"
60036,"8106 Annella Way","Louisville","KY","40219"
60037,"5508 Ridgecrest Rd","Louisville","KY","40218"
60038,"1806 Allanwood Rd","Louisville","KY","40214"
60039,"1107 Oneida Ave","Louisville","KY","40214"
60040,"11905 Tazwell Dr","Apt 4","Louisville",
60041,"5821 Bocagrande Dr","Louisville","KY","40219"
60042,"8420 Hudson Ln","Louisville","KY","40291"
60043,"2410 Bank St","Louisville","KY","40212"
60044,"3018 Aubert Ave","Louisville","KY","40206"
60045,"404 N 43rd St","Louisville","KY","40212"
60046,"509 Candlelight Ln","Louisville","KY","40214"
60047,"109 N 44th St","Louisville","KY","40212"
60048,"4408 Lochridge Pkwy","Louisville","KY","40299"
60049,"407 Victory Ridge Ct","Louisville","KY","40245"
60050,"305 Norbourne Blvd","Louisville","KY","40207"
60051,"10008 Coby Way","Louisville","KY","40241"
60052,"3409 Janell Rd","Louisville","KY","40216"
60053,"4300 Dover Rd","Louisville","KY","40216"
60054,"2500 Bradley Ave","Louisville","KY","40217"
60055,"9602 Hunting Ground Ct","Louisville","KY","40228"
60056,"577 Sunnyside Dr","Louisville","KY","40206"
60057,"128 Gardiner Lake Rd","Louisville","KY","40205"
60058,"1744 Cherokee Ter","Louisville","KY","40205"
60059,"955 Vine St","Louisville","KY","40204"
60060,"4804 Kingfisher Way","Louisville","KY","40213"
60061,"7205 Edcoe Rd","Louisville","KY","40228"
60062,"2928 Garey Ln","Louisville","KY","40216"
60063,"409 Willow Stone Way","Louisville","KY","40223"
60064,"9903 Fairmount Rd","Louisville","KY","40291"
60065,"9004 Reinhart Way","Louisville","KY","40220"
60066,"1548 Glenrock Rd","Louisville","KY","40216"
60067,"8300 Cloverport Dr","Louisville","KY","40228"
60068,"418 N 38th St","Louisville","KY","40212"
60069,"9019 Auburn Woods Rd","Louisville","KY","40214"
60070,"1720 Wickham Way","Louisville","KY","40223"
